Sample_name,Year,Treatment,Source
2022Pollinator1a,2022,Bumble bee,Hive
2022Pollinator1b,2022,Bumble bee,Hive
2022Pollinator1c,2022,Bumble bee,Hive
2022Pollinator1d,2022,Bumble bee,Hive
2022Pollinator2a,2022,Bumble bee,Hive
2022Pollinator2b,2022,Bumble bee,Hive
2022Pollinator2c,2022,Bumble bee,Hive
2022Pollinator2d,2022,Bumble bee,Hive
2022Pollinator3a,2022,Bumble bee,Hive
2022Pollinator3b,2022,Bumble bee,Hive
2022Pollinator3c,2022,Bumble bee,Hive
2022Pollinator3d,2022,Bumble bee,Hive
2022Pollinator4a,2022,Bumble bee,Hive
2022Pollinator4b,2022,Bumble bee,Hive
2022Pollinator4c,2022,Bumble bee,Hive
2022Pollinator4d,2022,Bumble bee,Hive
2022Pollinator5a,2022,Bumble bee,Hive
2022Pollinator5b,2022,Bumble bee,Hive
2022Pollinator5c,2022,Bumble bee,Hive
2022Pollinator5d,2022,Bumble bee,Hive
2022Pollinator6a,2022,Bumble bee,Hive
2022Pollinator6b,2022,Bumble bee,Hive
2022Pollinator6c,2022,Bumble bee,Hive
2022Pollinator6d,2022,Bumble bee,Hive
2022Pollinator7a,2022,Bumble bee,Hive
2022Pollinator7b,2022,Bumble bee,Hive
2022Pollinator7c,2022,Bumble bee,Hive
2022Pollinator7d,2022,Bumble bee,Hive
2022Pollinator8a,2022,Bumble bee,Hive
2022Pollinator8b,2022,Bumble bee,Hive
2022Pollinator8c,2022,Bumble bee,Hive
2022Pollinator8d,2022,Bumble bee,Hive
2022Pollinator9a,2022,Bumble bee,Hive
2022Pollinator9b,2022,Bumble bee,Hive
2022Pollinator10a,2022,Drone fly,Lab
2022Pollinator10b,2022,Drone fly,Lab
2022Pollinator10c,2022,Drone fly,Lab
2022Pollinator10d,2022,Drone fly,Lab
2022Pollinator11a,2022,Drone fly,Lab
2022Pollinator11b,2022,Drone fly,Lab
2022Pollinator11c,2022,Drone fly,Lab
2022Pollinator11d,2022,Drone fly,Lab
2022Pollinator12a,2022,Drone fly,Lab
2022Pollinator12b,2022,Drone fly,Lab
2022Pollinator12c,2022,Drone fly,Lab
2022Pollinator12d,2022,Drone fly,Lab
2022Pollinator13a,2022,Drone fly,Lab
2022Pollinator13b,2022,Drone fly,Lab
2022Pollinator13c,2022,Drone fly,Lab
2022Pollinator13d,2022,Drone fly,Lab
2022Pollinator14a,2022,Drone fly,Lab
2022Pollinator14b,2022,Drone fly,Lab
2022Pollinator14c,2022,Drone fly,Lab
2022Pollinator14d,2022,Drone fly,Lab
2022Pollinator15a,2022,Drone fly,Lab
2022Pollinator15b,2022,Drone fly,Lab
2022Pollinator15c,2022,Drone fly,Lab
2022Pollinator15d,2022,Drone fly,Lab
2022Pollinator16a,2022,Drone fly,Lab
2022Pollinator16b,2022,Drone fly,Lab
2022Pollinator16c,2022,Drone fly,Lab
2022Pollinator16d,2022,Drone fly,Lab
2022Pollinator17a,2022,Drone fly,Lab
2022Pollinator17b,2022,Drone fly,Lab
2022Pollinator17c,2022,Drone fly,Lab
2022Pollinator17d,2022,Drone fly,Lab
2022Pollinator18a,2022,Honey bee,Hive
2022Pollinator18b,2022,Honey bee,Hive
2022Pollinator18c,2022,Honey bee,Hive
2022Pollinator19a,2022,Honey bee,Hive
2022Pollinator19b,2022,Honey bee,Hive
2022Pollinator19c,2022,Honey bee,Hive
2022Pollinator19d,2022,Honey bee,Hive
2022Pollinator20a,2022,Honey bee,Hive
2022Pollinator20b,2022,Honey bee,Hive
2023Pollinator1a,2023,Bumble bee,Hive
2023Pollinator1b,2023,Bumble bee,Hive
2023Pollinator1c,2023,Bumble bee,Hive
2023Pollinator1d,2023,Bumble bee,Hive
2023Pollinator2a,2023,Bumble bee,Hive
2023Pollinator2b,2023,Bumble bee,Hive
2023Pollinator2c,2023,Bumble bee,Hive
2023Pollinator2d,2023,Bumble bee,Hive
2023Pollinator3a,2023,Bumble bee,Hive
2023Pollinator3b,2023,Bumble bee,Hive
2023Pollinator3c,2023,Bumble bee,Hive
2023Pollinator3d,2023,Bumble bee,Hive
2023Pollinator4a,2023,Bumble bee,Hive
2023Pollinator4b,2023,Bumble bee,Hive
2023Pollinator4c,2023,Bumble bee,Hive
2023Pollinator4d,2023,Bumble bee,Hive
2023Pollinator5a,2023,Bumble bee,Hive
2023Pollinator5b,2023,Bumble bee,Hive
2023Pollinator5c,2023,Bumble bee,Hive
2023Pollinator5d,2023,Bumble bee,Hive
2023Pollinator6a,2023,Bumble bee,Hive
2023Pollinator6b,2023,Bumble bee,Hive
2023Pollinator6c,2023,Bumble bee,Hive
2023Pollinator6d,2023,Bumble bee,Hive
2023Pollinator7a,2023,Native bee,Wild
2023Pollinator7b,2023,Native bee,Wild
2023Pollinator8a,2023,Native bee,Wild
2023Pollinator9a,2023,Native bee,Wild
2023Pollinator9b,2023,Native bee,Wild
2023Pollinator10a,2023,Native bee,Wild
2023Pollinator11a,2023,Native bee,Wild
2023Pollinator12a,2023,Native bee,Wild
2023Pollinator12b,2023,Native bee,Wild
